review_id,order_id,product_id,customer_id,rating,review_text,review_date
R00001,O00031,P0047,C0063,5,"Decent, but I had to contact support.",2022-08-26
R00002,O00110,P0054,C0062,2,"Satisfied overall, but packaging could be better.",2023-01-04
R00003,O00053,P0013,C0039,3,Love the design and functionality.,2024-10-08
R00004,O00072,P0001,C0072,3,Exceeded my expectations!,2023-06-05
R00005,O00069,P0060,C0034,4,Excellent quality and fast shipping!,2024-04-18
R00006,O00071,P0060,C0014,2,"Satisfied overall, but packaging could be better.",2024-12-07
R00007,O00038,P0060,C0068,2,Would recommend to friends.,2024-01-07
R00008,O00126,P0037,C0027,3,Would recommend to friends.,2023-05-03
R00009,O00097,P0015,C0019,1,Would recommend to friends.,2022-04-16
R00010,O00132,P0008,C0055,3,Battery life could be longer.,2024-07-02
R00011,O00125,P0059,C0029,1,Product works as expected.,2023-09-26
R00012,O00118,P0024,C0044,1,Love the design and functionality.,2022-09-30
R00013,O00102,P0018,C0044,2,Battery life could be longer.,2023-12-20
R00014,O00069,P0059,C0034,3,"Decent, but I had to contact support.",2024-05-10
R00015,O00034,P0037,C0050,3,Excellent quality and fast shipping!,2023-01-24
R00016,O00012,P0058,C0023,4,Excellent quality and fast shipping!,2024-01-22
R00017,O00032,P0041,C0043,4,Excellent quality and fast shipping!,2024-05-22
R00018,O00110,P0054,C0062,2,Exceeded my expectations!,2023-01-07
R00019,O00041,P0005,C0069,3,Exceeded my expectations!,2023-08-17
R00020,O00022,P0001,C0057,2,Excellent quality and fast shipping!,2025-01-11
R00021,O00102,P0035,C0044,2,Would recommend to friends.,2023-12-30
R00022,O00024,P0023,C0002,1,"Satisfied overall, but packaging could be better.",2024-05-11
R00023,O00123,P0029,C0045,5,"Satisfied overall, but packaging could be better.",2023-11-04
R00024,O00133,P0040,C0038,1,Excellent quality and fast shipping!,2022-07-13
R00025,O00088,P0036,C0070,4,Good value for the price.,2023-02-22
R00026,O00123,P0029,C0045,4,Product works as expected.,2023-11-07
R00027,O00027,P0057,C0061,3,Exceeded my expectations!,2023-01-25
R00028,O00036,P0029,C0020,2,Good value for the price.,2024-03-05
R00029,O00018,P0049,C0052,2,Battery life could be longer.,2024-03-30
R00030,O00090,P0060,C0042,2,Would recommend to friends.,2022-02-15
R00031,O00114,P0029,C0035,1,Good value for the price.,2022-02-17
R00032,O00032,P0004,C0043,4,"Decent, but I had to contact support.",2024-05-19
R00033,O00036,P0046,C0020,1,"Satisfied overall, but packaging could be better.",2024-02-18
R00034,O00073,P0053,C0009,3,"Satisfied overall, but packaging could be better.",2024-10-12
R00035,O00133,P0040,C0038,2,Would recommend to friends.,2022-07-15
R00036,O00076,P0048,C0050,2,Battery life could be longer.,2024-01-01
R00037,O00099,P0032,C0068,4,"Not as described, requested refund.",2023-04-12
R00038,O00019,P0017,C0070,3,Good value for the price.,2023-12-31
R00039,O00100,P0014,C0013,5,Good value for the price.,2025-01-07
R00040,O00121,P0019,C0057,5,Product works as expected.,2024-10-26
